Sno,AgeBand,Married,Widowed,Divorced,Seperated,NeverMarried
1,15 to 17 years,125,13,44,67,12771
2,18 to 24 years,2330,43,201,219,26291
3,25 to 29 years,7322,31,503,299,15121
4,30 to 34 years,11606,72,1090,469,8694
5,35 to 39 years,13407,141,1774,571,5550
6,40 to 44 years,12928,161,2129,543,3822
7,45 to 49 years,13352,319,2916,569,3189
8,50 to 54 years,13378,528,3209,576,2663
9,55 to 59 years,13985,833,3437,516,2393
10,60 to 64 years,13531,1255,3440,450,1916
11,65 to 69 years,11254,1676,2791,299,1336
12,70 to 74 years,9164,2106,1909,162,790
13,75 to 79 years,5536,2181,1110,101,429
14,80 to 84 years,3082,2110,566,53,240
15,85 years and over,1855,3438,361,34,206
